Listing.ListingId,Listing.Price.ClosePrice
mrd10801802,752452.2970808259
mrd10966126,448989.17436927615
mrd11165969,695659.5465892579
mrd11185881,2027171.4841713058
mrd11198825,655758.9421118159
mrd11203997,843729.4982314986
mrd11225213,558139.4811307315
mrd11257626,556466.6204922147
mrd11295064,733147.2656360369
mrd11296257,606817.8003024041
mrd11325633,423921.89576456265
mrd11372731,364623.42936986
mrd11425162,608063.9466176332
mrd11429964,474002.2706012157
mrd11434159,220586.3286809514
mrd11434162,229771.708366445
mrd11461791,528005.6067168881
mrd11465979,413151.4447392866
mrd11615898,1520890.9659146594
mrd11621536,414183.75027337746
mrd11637055,705594.3067227748
mrd11641496,437720.9709876927
mrd11657767,536428.0739745398
mrd11657859,358031.2604303076
mrd11667877,598811.7421938323
mrd11668467,397247.1736740358
mrd11683092,234451.35408629893
mrd11688641,660168.3641439035
mrd11695954,136691.7647363068
mrd11697538,793107.2856921916
mrd11701455,494391.93900345097
mrd11701529,343272.3130020145
mrd11705426,537287.9950880705
mrd11706848,3325073.901502738
mrd11707457,386677.55900897225
mrd11707537,4508560.835849466
mrd11707575,1062571.725745259
mrd11709819,632521.359148614
mrd11713278,572476.2804520207
mrd11715708,869040.9758116992
mrd11716349,486877.9758417459
mrd11718881,461710.08546997694
mrd11718991,368529.22461816936
mrd11719655,605415.6649141678
mrd11721479,378166.63399901544
mrd11723649,500146.61388547753
mrd11728197,780430.5444861437
mrd11730176,265746.6138345818
mrd11731162,676434.4292093468
mrd11733236,537981.2233662124
mrd11734992,287138.9817217782
mrd11735580,372438.18808985467
mrd11738834,213226.30226817168
mrd11742658,510647.0019113317
mrd11747536,295737.13366350107
mrd11748425,1202713.7327245255
mrd11754623,281100.31478525826
mrd11755515,365893.0992996029
mrd11763903,249059.83492325217
mrd11767496,624561.9381643825
mrd11768241,940732.8812274392
mrd11771621,713460.6958069165
mrd11771842,490621.83726669126
mrd11772577,1958767.1394694753
mrd11773253,1162323.1999975082
mrd11773945,2083622.2039792612
mrd11774271,273526.9531273903
mrd11774661,94964.23747408482
mrd11775452,372720.3971182846
mrd11777824,271501.3421618545
mrd11777930,750955.7191558608
mrd11782583,360630.53370993043
mrd11783177,260793.34890832726
mrd11783733,813527.9673364799
mrd11788663,591555.3287288962
mrd11789191,1378288.9821706354
mrd11789347,342290.280258619
mrd11790598,538420.5463672626
mrd11791389,454706.2397185064
mrd11793708,194095.15482667752
mrd11793731,615941.4672246662
mrd11794303,519625.267249722
mrd11794844,685453.7872493737
mrd11795091,1733746.7002144286
mrd11795286,294537.16821485094
mrd11795376,595855.424385849
mrd11797631,196967.3366977283
mrd11797899,756355.546882277
mrd11798018,578376.5879048374
mrd11798743,260314.58032636295
mrd11799145,257260.6245890602
mrd11799198,462922.9675328753
mrd11799205,236611.01888589215
mrd11800712,2550550.711842072
mrd11801292,253889.60667074993
mrd11803807,331991.26834200457
mrd11806324,114611.1215621614
mrd11806595,558729.8616209601
mrd11807441,281596.8930030802
mrd11808647,339290.75289274915
mrd11809085,368235.4298333853
mrd11810329,753571.3622195956
mrd11810464,269111.0593581071
mrd11811099,546296.1696205407
mrd11811156,222989.46889723427
mrd11811834,241364.9251342397
mrd11812050,416341.7266993744
mrd11812106,1217445.922866239
mrd11812297,482616.29981094593
mrd11812463,196317.87416514856
mrd11813462,139550.89178675404
mrd11816152,337992.3225357767
mrd11816196,492996.70259834104
mrd11816252,217020.18049163665
mrd11817462,1463163.9040806186
mrd11817871,474780.9262528161
mrd11818570,866582.7194335489
mrd11818576,189733.85466048797
mrd11818998,2109632.3046431746
mrd11820164,234481.39849556435
mrd11821001,310394.3524139761
mrd11821076,789529.5684634607
mrd11822234,341236.8340845191
mrd11822649,1018398.6324180147
mrd11824833,227299.0393878216
mrd11824849,291186.4387696537
mrd11827229,562561.9029773978
mrd11827257,245934.19819319245
mrd11829349,216112.87530457138
mrd11830042,603102.5293981403
mrd11830824,600135.8984089235
mrd11831846,457981.8691576459
mrd11832479,317596.37142104027
mrd11832618,519585.50079483906
mrd11833219,679433.6243888572
mrd11833324,1361224.8114208162
mrd11833542,225679.68369103473
mrd11833828,618257.8970801106
mrd11833847,808946.4522297883
mrd11834996,205913.9201073484
mrd11835772,295878.38662549783
mrd11835925,288513.6662558461
mrd11837193,881420.3513909732
mrd11838921,225191.70132381338
mrd11839414,584547.4841032604
mrd11840134,638851.1168246403
mrd11840199,271316.13297926245
mrd11840602,506570.26158571546
mrd11840784,714386.5947540808
mrd11840873,732748.7401905216
mrd11841603,363702.494719276
mrd11841619,538031.2788984436
mrd11842696,522582.72139123647
mrd11844448,602976.4495057741
mrd11844771,207066.80321664075
mrd11844977,552727.7533078652
mrd11845341,1253738.259037239
mrd11846441,2048768.9797444176
mrd11847034,191491.4137962089
mrd11847125,744399.5947121863
mrd11847649,298836.6014483133
mrd11848698,425463.61860314646
mrd11850593,108950.56910495549
mrd11850896,512261.8501471592
mrd11851711,295590.74267834536
mrd11852427,643049.7649482088
mrd11852703,260352.41548351702
mrd11853152,229201.80143360462
mrd11853613,415569.0015139329
mrd11854357,571280.2526358612
mrd11855535,364318.40381339414
mrd11856052,212419.1904862065
mrd11856077,552176.9741217624
mrd11856634,4441830.601942824
mrd11857826,671427.654605286
mrd11858033,558146.9434569958
mrd11858804,289588.178443373
mrd11859142,388198.770399793
mrd11859531,518500.903315733
mrd11861899,631094.0261947191
mrd11862321,314474.8857253073
mrd11862524,272724.4494194303
mrd11862927,567120.8942328421
mrd11863015,702871.2012317994
mrd11863184,1059610.7257980967
mrd11863480,253812.1643154528
mrd11864115,677293.1690513602
mrd11864282,214685.3362728996
mrd11864306,611017.300530938
mrd11864525,1579892.672427071
mrd11864549,249855.40854202726
mrd11865087,190057.46975466932
mrd11865318,249534.88651107956
mrd11865658,697826.4570477749
mrd11865674,228746.57563405848
mrd11865687,194235.96752597857
mrd11866134,558812.202253263
mrd11866171,205822.37437161582
mrd11866367,544603.4712432637
mrd11866877,231227.5060542586
mrd11868026,685317.9787475824
mrd11868038,418542.23574437434
mrd11868048,479712.9335491315
mrd11868314,468568.8029574715
mrd11868446,525624.9585460476
mrd11868510,302094.5004687877
mrd11869124,267200.8350025702
mrd11869505,114190.47006989601
